ID,Brand,Category,Color,Material,Style,Gender,Season,Price(USD),Popularity_Score,Customer_Rating,Trend_Status,price_category
79,H&M,Gloves,White,Cotton,Luxury,Unisex,Winter 2024,331.34,9.1,4.1,Trending,Mid-range
80,H&M,Gloves,White,Cotton,Luxury,Women,Winter 2023,407.91,1.3,3.3,Trending,Mid-range
81,Mango,Gloves,Beige,Polyester,Sporty,Men,Winter 2024,30.07,4.9,2.7,Outdated,Budget
82,Levi's,Cardigan,Red,Cashmere,Streetwear,Unisex,Winter 2023,210.74,9.6,3.8,Classic,Budget
83,Uniqlo,Scarf,Green,Down,Streetwear,Women,Winter 2025,198.07,4.3,4.1,Trending,Budget
84,Nike,Cardigan,Red,Cotton,Streetwear,Unisex,Winter 2024,435.24,7.7,3.5,Outdated,Mid-range
85,Prada,Scarf,Green,Fleece,Sporty,Unisex,Winter 2023,752.0,3.8,5.0,Trending,Expensive
86,Mango,Sweater,White,Down,Formal,Unisex,Winter 2024,559.9,9.5,4.9,Trending,Premium
87,H&M,Sweater,Black,Fleece,Casual,Women,Winter 2024,65.26,6.7,3.3,Outdated,Budget
88,North Face,Thermal,White,Cotton,Casual,Unisex,Winter 2023,125.25,4.0,4.4,Emerging,Budget
89,Zara,Beanie,Brown,Polyester,Luxury,Women,Winter 2024,72.01,6.8,3.7,Trending,Budget
90,Gucci,Sweater,Black,Polyester,Sporty,Women,Winter 2025,632.52,9.0,4.8,Emerging,Expensive
91,Mango,Coat,Beige,Wool,Formal,Unisex,Winter 2023,532.99,9.4,3.1,Emerging,Premium
92,Nike,Hoodie,Black,Fleece,Luxury,Women,Winter 2024,705.85,1.8,3.7,Trending,Expensive
93,Uniqlo,Gloves,Brown,Cashmere,Luxury,Women,Winter 2023,677.98,1.4,4.8,Classic,Expensive
94,Mango,Scarf,Cream,Fleece,Formal,Men,Winter 2024,321.9,6.5,4.0,Outdated,Mid-range
95,Gucci,Hoodie,Cream,Cashmere,Formal,Men,Winter 2025,513.28,2.7,3.1,Emerging,Premium
96,Uniqlo,Scarf,Cream,Cotton,Luxury,Women,Winter 2025,738.25,3.3,3.5,Trending,Expensive
97,Levi's,Sweater,Brown,Down,Streetwear,Women,Winter 2023,241.85,6.1,3.0,Classic,Budget
98,Nike,Scarf,Brown,Leather,Streetwear,Women,Winter 2024,782.43,8.3,2.8,Outdated,Expensive
99,Zara,Thermal,Beige,Wool,Formal,Unisex,Winter 2024,444.81,7.7,3.2,Emerging,Mid-range
100,North Face,Thermal,Maroon,Down,Casual,Women,Winter 2023,69.14,4.1,4.9,Emerging,Budget
101,Mango,Gloves,Brown,Fleece,Streetwear,Unisex,Winter 2023,488.02,9.8,2.6,Classic,Premium
102,Zara,Gloves,White,Cotton,Luxury,Women,Winter 2024,559.21,6.2,4.8,Trending,Premium
103,Mango,Cardigan,Red,Cotton,Formal,Women,Winter 2024,554.73,5.7,4.7,Outdated,Premium
104,Mango,Hoodie,Blue,Fleece,Luxury,Women,Winter 2024,225.28,2.2,3.7,Classic,Budget
105,Adidas,Jacket,Beige,Fleece,Luxury,Women,Winter 2024,771.22,9.2,4.3,Outdated,Expensive
106,Zara,Scarf,White,Polyester,Streetwear,Unisex,Winter 2023,446.46,10.0,2.7,Outdated,Premium
107,Levi's,Thermal,Maroon,Leather,Luxury,Men,Winter 2025,542.67,5.9,2.6,Classic,Premium
108,Nike,Beanie,Cream,Down,Sporty,Women,Winter 2025,155.85,9.4,3.0,Outdated,Budget
109,Zara,Jacket,Maroon,Leather,Luxury,Men,Winter 2025,779.42,4.5,4.8,Trending,Expensive
110,Uniqlo,Jacket,Gray,Fleece,Formal,Women,Winter 2024,196.88,3.1,3.6,Classic,Budget
111,North Face,Boots,Brown,Cotton,Sporty,Unisex,Winter 2025,574.38,5.4,2.7,Emerging,Premium
112,Prada,Scarf,Maroon,Fleece,Streetwear,Women,Winter 2025,127.55,4.5,4.4,Outdated,Budget
113,Gucci,Scarf,Beige,Cotton,Luxury,Men,Winter 2025,440.14,7.4,4.6,Outdated,Mid-range
114,North Face,Coat,Gray,Fleece,Formal,Men,Winter 2024,445.18,7.8,4.0,Outdated,Mid-range
115,Prada,Gloves,Beige,Polyester,Luxury,Women,Winter 2025,398.21,3.3,4.9,Trending,Mid-range
116,H&M,Beanie,Brown,Fleece,Formal,Men,Winter 2023,379.09,3.4,4.4,Trending,Mid-range
117,Adidas,Thermal,Beige,Fleece,Formal,Men,Winter 2025,511.0,5.5,3.7,Outdated,Premium
118,Uniqlo,Jacket,Red,Down,Formal,Women,Winter 2025,604.56,4.6,3.9,Trending,Premium
119,Adidas,Scarf,Green,Cotton,Casual,Men,Winter 2024,508.61,9.0,4.3,Emerging,Premium
120,Nike,Sweater,White,Fleece,Luxury,Men,Winter 2023,367.56,8.9,4.9,Classic,Mid-range
121,North Face,Coat,Maroon,Cotton,Streetwear,Men,Winter 2025,512.29,6.3,2.8,Classic,Premium
122,Mango,Boots,Black,Leather,Formal,Unisex,Winter 2025,522.28,8.5,4.2,Outdated,Premium
123,Mango,Scarf,Green,Fleece,Luxury,Unisex,Winter 2025,400.19,6.6,2.7,Emerging,Mid-range
124,Prada,Thermal,Black,Cotton,Formal,Unisex,Winter 2024,223.88,4.6,3.0,Emerging,Budget
125,North Face,Gloves,Brown,Leather,Streetwear,Women,Winter 2024,281.5,6.0,4.2,Classic,Budget
126,Nike,Sweater,Black,Polyester,Luxury,Men,Winter 2024,188.42,5.4,4.4,Classic,Budget
127,Adidas,Gloves,Beige,Leather,Sporty,Unisex,Winter 2024,542.58,9.4,3.7,Trending,Premium
128,North Face,Thermal,Black,Leather,Luxury,Women,Winter 2023,458.83,1.4,4.2,Outdated,Premium
129,H&M,Hoodie,Beige,Cashmere,Casual,Women,Winter 2025,463.22,1.9,3.9,Emerging,Premium
130,Mango,Boots,Maroon,Polyester,Luxury,Men,Winter 2025,295.41,7.6,3.8,Classic,Mid-range
131,Zara,Coat,Red,Cotton,Casual,Unisex,Winter 2024,377.9,4.1,4.6,Outdated,Mid-range
132,Uniqlo,Thermal,Blue,Fleece,Sporty,Unisex,Winter 2023,381.1,6.6,4.9,Outdated,Mid-range
133,Levi's,Sweater,Beige,Down,Formal,Men,Winter 2025,585.44,2.0,3.1,Trending,Premium
134,North Face,Boots,Black,Cotton,Formal,Unisex,Winter 2025,291.94,10.0,2.7,Outdated,Budget
135,Gucci,Scarf,Beige,Leather,Sporty,Unisex,Winter 2023,765.47,5.3,3.6,Trending,Expensive
136,Uniqlo,Thermal,Brown,Down,Sporty,Women,Winter 2024,730.82,2.7,4.1,Outdated,Expensive
137,Levi's,Boots,Black,Fleece,Sporty,Women,Winter 2025,690.75,9.5,4.1,Outdated,Expensive
138,Nike,Scarf,Beige,Polyester,Sporty,Unisex,Winter 2024,313.17,9.3,3.5,Emerging,Mid-range
139,Levi's,Hoodie,Brown,Down,Sporty,Women,Winter 2025,624.26,5.5,2.9,Trending,Premium
140,Prada,Sweater,Maroon,Down,Sporty,Unisex,Winter 2025,646.41,9.2,4.6,Outdated,Expensive
141,H&M,Gloves,White,Wool,Formal,Men,Winter 2025,91.32,5.2,4.8,Trending,Budget
142,Adidas,Scarf,Brown,Fleece,Casual,Unisex,Winter 2023,214.48,3.6,3.9,Classic,Budget
143,Uniqlo,Sweater,White,Leather,Streetwear,Unisex,Winter 2025,644.97,5.7,2.7,Trending,Expensive
144,Levi's,Coat,Beige,Cotton,Sporty,Men,Winter 2023,637.56,5.4,4.5,Outdated,Expensive
145,H&M,Scarf,Red,Cotton,Casual,Unisex,Winter 2024,512.48,1.8,3.7,Outdated,Premium
146,Mango,Coat,Green,Down,Casual,Women,Winter 2024,614.06,2.9,4.5,Emerging,Premium
147,H&M,Jacket,Gray,Polyester,Formal,Unisex,Winter 2023,329.7,3.0,4.4,Outdated,Mid-range
148,Uniqlo,Jacket,Gray,Leather,Casual,Unisex,Winter 2024,411.84,9.7,4.7,Outdated,Mid-range
149,Prada,Beanie,Black,Wool,Formal,Unisex,Winter 2025,407.11,3.5,3.0,Classic,Mid-range
150,Gucci,Gloves,Red,Down,Luxury,Men,Winter 2024,256.39,7.3,3.6,Outdated,Budget
